# datas from IGS:http://www.igs.org/network,2019-08-01
# Site                       Lat           Long
SYDN00AUS          -33.780885     151.150377 
SYOG00ATA          -69.007000      39.583700 
TABL00USA           34.381850    -117.678283 
TANA00ETH           11.569072      37.329106 
TASH00UZB           41.328050      69.295567 
TCMS00TWN           24.797986     120.987389 
TDOU00ZAF          -23.079908      30.384006 
TEHN00IRN           35.697281      51.334092 
THTG00PYF          -17.577060    -149.606438 
THTI00PYF          -17.577058    -149.606445 
THU200GRL           76.537000     -68.825000 
TID100AUS          -35.399211     148.979994 
TIDB00AUS          -35.399206     148.979997 
TIT200DEU           51.035303       6.431625 
TIXI00RUS           71.634475     128.866414 
TLSE00FRA           43.560694       1.480872 
TLSG00FRA           43.549713       1.485042 
TNML00TWN           24.797955     120.987344 
TONG00TON          -21.144714    -175.179222 
TOPL00BRA          -10.171053     -48.330678 
TORP00USA           33.797797    -118.330603 
TOW200AUS          -19.269286     147.055685 
TRAK00USA           34.038694     242.334917 
TRO100NOR           69.662714      18.939631 
TSK200JPN           36.105575     140.087117 
TSKB00JPN           36.105681     140.087497 
TUBI00TUR           40.786728      29.450675 
TUVA00TUV           -8.525292     179.196561 
TWTF00TWN           24.953600     121.164500 
UCAL00CAN           51.079975    -114.133850 
UCLP00USA           34.069122    -118.441911 
UCLU00CAN           48.925600    -125.541600 
UFPR00BRA          -25.448369     -49.230955 
ULAB00MNG           47.865067     107.052331 
ULDI00ZAF          -28.293117      31.420922 
UNB300CAN           45.950208     -66.641706 
UNBD00CAN           45.950123     -66.641495 
UNBJ00CAN           45.950208     -66.641706 
UNBN00CAN           45.950208     -66.641706 
UNSA00ARG          -24.727456     -65.407644 
UNX200AUS          -33.917767     151.231874 
UNX300AUS          -33.917767     151.231874 
URAL00RUS           56.838275      60.614858 
URUM00CHN           43.807950      87.600672 
USN700USA           38.920566     -77.066277 
USN800USA           38.920566     -77.066277 
USN900USA           38.920566     -77.066277 
USNO00USA           38.918964     -77.066225 
USUD00JPN           36.133110     138.362044 
UTQI00USA           71.322756    -156.615017 
UZHL00UKR           48.632000      22.297600 
VACS00MUS          -20.297091      57.497037 
VALD00CAN           48.097058     -77.564167 
VILL00ESP           40.443600      -3.952000 
VIS000SWE           57.653867      18.367311 
VNDP00USA           34.556311    -120.616450 
VOIM00MDG          -21.906300      46.793272 
WAB200CHE           46.923750       7.464256 
WARK00NZL          -36.434411     174.662781 
WARN00DEU           54.169786      12.101425 
WDC500USA           38.920564     -77.066317 
WDC600USA           38.920564     -77.066317 
WES200USA           42.613336     -71.493328 
WGTN00NZL          -41.323456     174.805893 
WHC100USA           33.979886    -118.031169 
WHIT00CAN           60.750500    -135.222100 
WIDC00USA           33.934758    -116.391781 
WILL00CAN           52.236900    -122.167800 
WIND00NAM          -22.574919      17.089431 
WLSN00USA           34.226122    -118.055914 
WROC00POL           51.113264      17.062028 
WSRT00NLD           52.914600       6.604500 
WTZ300DEU           49.144778      12.878639 
WTZA00DEU           49.144200      12.878900 
WTZR00DEU           49.144197      12.878908 
WTZS00DEU           49.144786      12.878625 
WTZZ00DEU           49.144214      12.878906 
WUH200CHN           30.531700     114.357300 
WUHN00CHN           30.531653     114.357261 
XMIS00AUS          -10.449969     105.688494 
YAKT00RUS           62.030961     129.680300 
YAR200AUS          -29.046560     115.346972 
YAR300AUS          -29.046500     115.347147 
YARR00AUS          -29.046594     115.346969 
YEBE00ESP           40.524900      -3.088600 
YEL200CAN           62.481321    -114.480846 
YELL00CAN           62.480900    -114.480700 
YIBL00OMN           22.186458      56.112333 
YKRO00CIV            6.870560      -5.240093 
YONS00KOR           37.541122     127.001344 
YSSK00RUS           47.029736     142.716719 
ZAMB00ZMB          -15.425541      28.311012 
ZECK00RUS           43.788392      41.565064 
ZIM200CHE           46.877092       7.465028 
ZIM300CHE           46.877092       7.465028 
ZIMJ00CHE           46.877139       7.465100 
ZIMM00CHE           46.877094       7.465272 
ZWE200RUS           55.700000      36.760000 
