# Sta         Lat(deg)    Long(deg)
AL10        34.44       273.73 
AL13        34.60       274.07 
AL15        33.99       273.92 
AL20        34.71       272.34 
AL23        34.15       272.05 
AL2H        48.39       236.51 
AL30        33.53       273.15 
AL35        33.17       273.24 
AL40        32.96       273.99 
AL46        32.33       274.84 
AL4A        32.96       273.99 
AL50        33.17       272.50 
AL55        32.71       272.38 
AL60        32.41       273.73 
AL62        32.15       274.31 
AL70        31.78       274.03 
AL76        31.88       274.77 
AL81        32.58       271.82 
AL82        32.26       272.37 
AL83        31.99       272.67 
AL84        31.70       272.21 
AL90        30.69       271.97 
AL92        30.92       272.22 
ALA1        32.60       274.50 
ALA2        43.29       76.94 
ALAB        41.40       71.50 
ALAC        38.34       359.52 
ALAJ        28.06       342.76 
ALAL        19.38       204.41 
ALAM        37.36       244.84 
ALAN        31.31       273.52 
ALAR        -9.75       323.35 
ALAS        33.67       274.17 
ALAT        41.67       13.38 
ALAU        32.61       274.52 
ALAV        31.55       274.77 
ALB2        -36.08      146.92 
ALB3        7.76        286.61 
ALB4        43.93       2.14 
ALB5        39.95       16.46 
ALBA        38.98       358.14 
ALBE        34.48       272.14 
ALBH        48.39       236.51 
ALBI        10.66       298.49 
ALBL        43.68       266.67 
ALBM        43.95       2.15 
ALBO        35.94       356.97 
ALBU        32.08       271.77 
ALBY        -34.95      117.81 
ALC1        33.26       271.90 
ALC3        37.98       12.97 
ALC4        38.79       351.13 
ALC5        41.06       359.85 
ALC6        33.10       273.25 
ALCA        37.73       359.14 
ALCE        32.95       272.85 
ALCH        31.45       271.80 
ALCI        48.46       38.91 
ALCL        32.84       273.37 
ALCN        34.16       274.34 
ALCO        38.70       359.53 
ALCU        34.18       273.16 
ALD1        50.78       246.06 
ALDA        42.75       357.67 
ALDB        52.15       1.60 
ALDE        27.98       344.22 
ALDI        30.25       271.92 
ALDO        31.24       274.56 
ALDS        34.15       272.60 
ALE3        40.85       25.85 
ALEB        31.09       272.94 
ALEF        29.69       264.36 
ALEP        19.54       204.36 
ALES        44.92       8.62 
ALEX        45.89       264.62 
ALFA        33.69       272.17 
ALFD        64.98       343.97 
ALFL        34.90       272.20 
ALFO        30.42       272.32 
ALFR        43.45       289.27 
ALG2        45.96       281.93 
ALG3        45.95       281.93 
ALGA        37.67       359.14 
ALGC        36.11       354.56 
ALGO        45.96       281.93 
ALGR        31.83       273.38 
ALGY        47.46       5.61 
ALH1        34.13       272.00 
ALHC        33.52       274.37 
ALHL        33.89       273.60 
ALIC        -23.67      133.89 
ALIF        41.33       14.33 
ALIN        44.92       8.62 
ALJA        33.83       272.72 
ALLA        32.92       274.60 
