# Sta         Lat(deg)    Long(deg)
MANL        14.60       120.97 
MANM        37.54       71.68 
MANO        47.31       264.03 
MANR        53.51       357.77 
MANT        45.16       10.79 
MANY        -35.05      141.06 
MANZ        19.06       255.70 
MAO0        20.71       203.74 
MAON        42.43       11.13 
MAOR        41.78       289.99 
MAPA        0.05        308.90 
MAPI        42.45       286.80 
MAPL        41.94       289.34 
MAPS        53.81       193.06 
MAPY        41.95       289.29 
Mar-00      45.57       9.77 
1-Mar       35.65       278.05 
2-Mar       31.63       352.00 
3-Mar       46.08       6.51 
4-Mar       19.05       287.24 
6-Mar       60.60       17.26 
7-Mar       60.60       17.26 
8-Mar       51.39       1.38 
9-Mar       -32.97      116.45 
MARA        40.00       15.69 
MARB        36.45       248.22 
MARC        24.29       153.98 
MARD        37.31       40.73 
MARE        41.53       2.43 
MARG        77.19       294.31 
MARI        46.56       15.65 
MARJ        50.36       12.89 
MARK        38.68       240.20 
MARN        -46.88      37.86 
MARO        17.09       265.12 
MARP        47.10       37.50 
MARR        42.65       289.39 
MARS        43.28       5.35 
MARY        -37.01      143.76 
MAS1        27.76       344.37 
MAS2        -2.02       147.27 
MAS3        42.14       286.64 
MAS4        -33.93      151.19 
MAS5        31.33       35.40 
MASA        42.86       289.11 
MASB        42.11       287.91 
MASC        41.61       240.45 
MASG        42.11       287.42 
MASH        36.31       59.47 
MASI        40.27       8.77 
MASO        39.07       240.84 
MASS        47.15       2.00 
MAST        -41.06      175.58 
MASV        38.89       240.87 
MASW        35.83       239.56 
MAT0        45.07       272.37 
MAT1        40.65       16.70 
MAT2        33.86       242.56 
MATA        41.54       2.43 
MATC        46.29       1.60 
MATE        40.65       16.70 
MATG        40.65       16.70 
MATH        33.86       242.56 
MATL        -9.59       34.58 
MATN        41.91       288.95 
MATQ        49.76       282.36 
MATU        41.98       289.96 
MATW        -38.33      177.53 
MATZ        40.65       16.70 
MAU1        41.51       9.02 
MAU2        24.40       91.91 
MAUA        -19.90      23.53 
MAUI        20.71       203.74 
MAUL        -35.81      289.18 
MAUP        48.52       0.54 
MAVE        46.03       11.83 
MAVL        -45.37      168.12 
MAW1        -67.60      62.87 
MAWB        42.48       288.84 
MAWE        42.25       288.19 
MAWF        42.12       287.25 
MAWM        42.56       288.07 
MAWN        42.51       288.85 
MAWO        42.48       288.84 
MAWY        44.97       249.31 
MAX1        39.27       237.81 
MAYG        -12.78      45.26 
MAYZ        18.22       292.84 
MAZ1        56.31       22.35 
MAZ2        57.86       25.05 
MAZA        37.59       358.69 
MAZE        45.57       359.41 
MAZK        56.31       22.31 
MAZO        28.61       342.22 
MBAR        -0.60       30.74 
MBBC        -11.27      34.80 
MBEY        -8.91       33.46 
MBFT        37.95       12.95 
MBH4        -25.53      152.71 
MBIO        -64.24      303.38 
MBL1        -78.03      204.98 
MBL2        -76.32      215.69 
MBL3        -77.34      218.13 
MBRG        -25.77      29.45 
MBRY        -33.95      18.47 
MBTH        39.46       272.60 
MBWW        41.90       253.81 
MC01        39.09       251.47 
MC02        39.01       251.51 
MC03        39.19       251.27 
MC04        38.68       251.03 
MC05        38.74       251.93 
MC06        39.22       251.15 
MC07        39.32       251.79 
MC08        39.24       252.02 
MC09        38.24       251.44 
MC10        38.46       252.12 
MCAD        45.59       292.67 
MCAI        21.52       107.98 
MCAR        -76.32      215.70 
MCCM        38.14       237.12 
MCD5        27.85       277.47 
MCD6        27.85       277.47 
MCEL        40.33       15.80 
MCES        59.75       208.74 
MCG2        -77.53      167.25 
MCGT        44.53       296.14 
MCHA        52.00       357.00 
MCHL        -26.36      148.15 
MCHN        47.96       275.10 
MCIL        24.29       153.98 
MCIN        43.06       11.49 
MCK1        33.20       263.39 
MCKE        -43.73      169.98 
MCKI        40.21       242.22 
MCKN        -35.52      138.65 
MCKY        -21.14      149.18 
MCL1        -22.75      289.75 
MCLA        -16.72      316.12 
MCLV        -35.22      138.54 
MCM1        56.65       248.78 
MCM4        -77.84      166.67 
MCMC        -77.84      166.67 
MCMD        -77.84      166.67 
MCN5        32.70       276.44 
MCN6        32.70       276.44 
MCNE        30.18       266.78 
MCNL        -39.44      176.70 
MCNT        -37.60      140.36 
MCON        39.66       278.17 
MCOY        40.12       242.41 
MCRG        -73.67      265.35 
MCRK        49.98       250.54 
MCRV        40.78       15.17 
MCSO        44.97       237.04 
MCSR        38.06       15.23 
MCTE        -37.82      286.61 
MCTN        46.10       295.17 
MCTY        36.12       270.30 
MDAH        -32.54      115.73 
MDAI        38.14       284.81 
MDAJ        39.13       283.21 
MDAN        39.13       283.21 
MDBA        39.55       283.68 
MDBD        39.00       282.82 
MDBM        39.45       283.34 
MDCF        37.98       284.14 
MDCT        39.23       283.95 
MDDM        39.32       282.80 
MDEA        45.92       13.44 
MDFC        60.12       223.04 
MDGR        11.84       13.13 
MDHG        38.53       283.22 
MDL2        44.75       280.11 
MDLK        54.09       251.52 
MDLT        38.31       283.37 
MDMT        42.42       238.78 
MDNM        38.56       284.01 
MDNR        41.89       354.95 
MDO1        30.68       255.99 
MDOC        38.33       284.91 
MDOR        45.80       4.81 
MDPF        38.55       283.42 
MDPM        42.94       356.52 
MDR5        46.91       256.73 
MDR6        46.91       256.73 
MDRD        40.44       356.21 
MDRS        44.66       238.87 
MDS1        34.99       253.39 
MDSA        38.37       284.48 
MDSI        38.32       283.55 
MDSK        39.53       283.35 
MDSP        39.51       283.36 
MDVJ        56.02       37.21 
MDVL        56.02       37.21 
MDVO        56.03       37.22 
MDWD        29.77       264.40 
ME01        29.61       264.72 
MEA1        44.77       269.22 
MEAD        36.09       245.92 
MEAL        43.43       289.49 
MECC        44.83       291.26 
MECE        7.11        286.29 
MECH        51.00       4.47 
MECI        38.18       15.52 
MECO        -29.18      301.92 
MECR        44.09       238.17 
MED1        50.04       249.33 
MED2        50.06       249.29 
MEDA        38.92       353.65 
MEDD        44.82       291.26 
MEDE        6.20        284.42 
MEDI        44.52       11.65 
MEDO        -26.76      114.61 
MEDS        46.16       24.35 
MEDX        45.03       290.70 
MEE1        36.19       239.24 
MEE2        36.18       239.23 
MEEL        43.59       289.77 
MEFR        44.67       289.87 
MEG1        -4.01       101.03 
MEGI        36.15       29.59 
MEGO        43.68       289.55 
MEGR        45.46       290.41 
MEJD        44.61       290.40 
MEKE        43.39       289.40 
MEL1        45.36       291.49 
MEL2        39.31       17.03 
MELA        41.71       15.13 
MELE        40.28       18.33 
MELI        35.28       357.05 
MELK        -43.90      286.25 
MELM        40.06       254.79 
MELN        48.54       2.67 
MELO        45.31       286.03 
MELP        -33.68      288.85 
MELR        39.69       351.87 
MEM1        35.47       269.79 
MEM2        35.47       269.79 
MEM3        38.98       356.66 
MEMA        44.71       292.54 
MEN1        37.56       23.39 
MENA        -34.13      150.74 
MENC        40.00       3.83 
MENE        50.78       3.10 
MENO        -34.27      141.81 
MENT        62.83       216.30 
MEOT        43.26       289.40 
MEOW        44.30       290.25 
MEPD        29.66       264.76 
MEPI        46.67       291.98 
MER2        40.39       356.37 
MER3        40.39       356.37 
MERA        44.97       289.35 
MERC        36.63       244.02 
MERI        20.98       270.38 
MERS        36.57       34.26 
MERT        37.65       352.34 
MERY        48.51       3.89 
MES1        38.20       15.55 
MESB        43.23       289.19 
MESE        44.12       268.99 
MESI        39.66       273.87 
MESO        38.37       21.47 
MESP        44.22       289.49 
MESQ        35.69       244.30 
MESS        37.83       351.76 
MET0        38.07       23.76 
MET1        60.22       24.40 
MET2        36.83       21.70 
MET3        60.22       24.39 
METG        60.24       24.38 
METH        -43.59      171.58 
METO        48.70       358.98 
METR        42.68       276.76 
METS        60.22       24.40 
METU        8.27        35.59 
METZ        49.10       6.20 
MEUL        4.13        96.13 
MEWA        44.45       290.90 
MEXI        32.63       244.52 
MEYA        43.80       289.81 
MEYM        43.81       289.76 
MEZH        48.25       36.73 
MFKG        -25.81      25.54 
MFLD        44.64       269.87 
MFLE        39.95       254.81 
MFP0        39.95       254.81 
MFTC        39.95       254.81 
MFTN        39.95       254.81 
MFTS        39.95       254.81 
MFTW        39.95       254.81 
MFUS        41.06       14.83 
MGAB        42.91       12.11 
MGBH        -19.94      316.08 
MGEF        39.12       271.46 
MGIN        -22.32      313.67 
MGIS        47.98       2.71 
MGJF        -21.78      316.63 
MGL0        15.95       298.72 
MGLP        -33.70      120.86 
MGMA        33.13       248.56 
MGMC        -16.72      316.14 
MGMT        -18.72      312.48 
MGNY        46.97       289.44 
MGO2        30.68       255.99 
MGO3        30.68       255.98 
MGOS        35.15       33.91 
MGRD        45.98       12.02 
MGRP        -19.21      313.87 
MGRV        -33.63      150.83 
MGTO        -17.88      318.50 
MGUB        -18.92      311.74 
MGUE        -35.78      290.60 
MGV1        -21.54      314.57 
MGW1        29.62       270.05 
MGW2        29.62       270.05 
MGW3        29.62       270.05 
MHCB        37.34       238.36 
MHDL        37.84       237.51 
MHIN        -39.43      286.79 
MHMB        39.15       238.41 
MHMS        33.94       241.76 
MHOP        -32.92      145.91 
MHTL        45.33       238.29 
MI02        60.18       24.83 
MI04        60.18       24.83 
MIA3        25.73       279.84 
MIA4        25.73       279.84 
MIAA        42.23       276.26 
MIAL        45.06       276.57 
MIAM        49.37       261.75 
MIAN        36.91       46.16 
MIAP        45.10       276.54 
MIAR        43.98       276.02 
MIBC        42.32       274.80 
MIBH        42.09       273.61 
MIBL        42.61       276.66 
MIBO        45.21       275.00 
MIBR        42.68       357.06 
MIBT        42.34       274.86 
MIBX        46.76       271.49 
MIBY        43.62       276.05 
MIC1        43.92       5.72 
MIC2        43.43       277.33 
MIC3        -35.72      149.15 
MICA        -21.71      290.17 
MICC        43.61       276.83 
MICH        38.52       241.09 
MICK        44.38       259.66 
MICL        43.82       275.23 
MICO        43.06       274.05 
MICP        47.47       272.13 
MICR        41.94       274.98 
MICV        41.92       274.48 
MICW        41.94       275.02 
MICX        45.31       274.74 
MID1        39.51       284.29 
MID2        46.02       276.26 
MIDA        35.92       239.54 
MIDB        42.61       245.11 
MIDD        41.96       276.35 
MIDG        -20.64      148.71 
MIDI        44.35       28.68 
MIDL        -31.89      116.01 
MIDR        42.91       276.02 
MIDS        43.05       276.48 
MIDT        42.44       276.99 
MIDV        40.62       248.09 
MIDW        28.22       182.63 
MIDY        37.42       41.36 
MIEL        42.74       275.49 
MIEM        44.85       274.14 
MIFR        42.11       276.73 
MIFT        43.03       276.35 
MIG1        34.04       239.65 
MIGD        45.03       275.36 
MIGH        43.01       273.79 
MIGL        44.66       275.30 
MIGR        43.04       274.34 
MIGY        45.02       275.33 
MIHA        44.02       275.19 
MIHD        41.89       275.38 
MIHL        44.33       275.21 
MIHO        42.81       273.92 
MIHT        43.69       273.64 
MIHV        42.89       274.14 
MIIR        46.08       271.37 
MIIT        43.29       275.41 
MIIW        46.47       269.83 
MIJN        42.23       275.61 
MIK2        68.14       328.55 
MIK3        61.57       27.10 
MIKI        68.14       328.55 
MIKK        44.74       274.81 
MIKL        46.97       31.97 
MIKS        41.85       275.65 
MIKZ        42.29       274.44 
MIL1        43.00       272.11 
MIL2        36.74       24.43 
MIL3        -27.81      151.34 
MIL4        43.53       280.11 
MIL5        52.02       359.23 
MIL7        40.05       8.64 
MIL8        43.05       276.69 
MILA        45.48       9.23 
MILF        38.31       246.84 
MILG        42.70       275.38 
MILI        42.44       276.59 
MILK        34.14       241.87 
MILL        40.65       241.94 
MILN        45.48       9.23 
MILO        38.01       12.58 
MILP        37.45       238.17 
MILR        38.12       242.56 
MILS        46.49       275.64 
MILT        43.95       273.56 
MIMA        42.56       275.55 
MIMC        45.78       275.28 
MIMI        -36.53      147.37 
MIMJ        42.38       276.94 
MIMK        43.20       273.75 
MIMN        44.37       273.84 
MIMO        41.92       276.54 
MIMQ        46.55       272.62 
MIMR        42.15       275.96 
MIMT        42.60       277.11 
MIMU        46.38       273.36 
MIMZ        44.20       358.77 
MIN0        -78.65      167.16 
MIN1        49.17       255.41 
MINA        38.42       241.84 
MINB        46.28       275.79 
MIND        45.38       275.37 
MINE        40.15       243.90 
MING        -38.62      176.75 
MINH        42.73       277.20 
MINI        41.81       273.78 
MINS        37.65       240.94 
MINT        62.58       223.21 
MINW        45.79       272.08 
MIO1        44.65       275.87 
MIO2        44.65       275.85 
MIOG        44.30       275.87 
MION        43.00       274.93 
MIOT        46.86       270.70 
MIPA        44.05       277.01 
MIPC        42.66       276.68 
MIPP        42.22       274.12 
MIPR        17.89       293.47 
MIPS        43.43       277.45 
MIPV        42.69       276.24 
MIPW        42.46       274.34 
MIQE        45.97       273.76 
MIR1        46.99       294.43 
MIR3        -21.16      148.86 
MIR4        -24.33      151.56 
MIRA        41.52       352.81 
MIRE        48.29       6.12 
MIRI        4.37        114.00 
MIRM        42.81       277.25 
MIRO        42.82       277.00 
MIRP        43.74       0.69 
MIS1        49.16       237.71 
MIS2        43.63       280.36 
MISA        -20.74      139.49 
MISB        43.61       273.64 
MISC        42.97       276.17 
MISE        37.69       245.76 
MISH        42.38       273.74 
MISI        45.85       275.30 
MISJ        42.96       275.46 
MISS        43.58       280.30 
MIST        45.42       272.40 
MISV        42.41       273.73 
MITC        44.71       274.39 
MITO        41.80       273.40 
MITR        42.89       20.87 
MITS        43.30       274.91 
MITT        -35.16      142.66 
MITU        47.11       271.45 
MITW        44.28       276.42 
MIVA        43.38       276.41 
MIWA        42.78       276.99 
MIWB        42.68       275.78 
MIWC        43.57       274.22 
MIWK        41.99       274.12 
MIZG        48.53       23.50 
MIZU        39.14       141.13 
MJAW        50.43       254.44 
MJPK        33.71       242.45 
MKAH        48.37       235.41 
MKAI        19.36       204.82 
MKCH        22.85       91.84 
MKEA        19.80       204.54 
MKEY        24.73       278.95 
MKIB        -75.28      294.40 
MKLU        27.81       84.84 
MKMK        -2.54       101.09 
MKMN        36.41       25.40 
MKNO        -39.70      176.03 
MKPO        34.82       126.38 
MKRS        48.38       22.71 
MKT2        44.16       266.06 
MKTG        -16.63      216.43 
MKTO        44.16       266.03 
MLAG        43.43       12.78 
MLAK        -38.08      142.81 
MLBK        45.21       263.36 
MLBU        -1.81       100.85 
MLCC        19.56       204.51 
MLES        19.46       204.45 
MLF5        32.09       272.61 
MLF6        32.09       272.61 
MLFP        33.92       242.68 
MLFT        41.20       16.60 
MLGA        36.72       355.56 
MLKE        47.13       240.73 
MLKN        -5.35       102.28 
MLNJ        -9.55       16.35 
MLO1        19.54       204.42 
MLOS        36.75       24.52 
MLPM        19.49       204.61 
MLPR        19.49       204.62 
MLRD        19.56       204.47 
MLSP        19.45       204.41 
MLTN        44.47       284.13 
MLVL        48.84       2.59 
MLYN        35.49       128.74 
MLZ1        39.15       42.54 
MMA1        14.54       121.04 
MMAU        19.37       204.82 
MMBI        38.03       15.76 
MMD1        20.93       270.34 
MMEP        63.18       229.80 
MMET        40.39       16.79 
MMME        37.94       15.25 
MMNO        39.87       15.97 
MMNT        -22.88      148.64 
MMRI        -8.64       122.24 
MMSQ        45.05       296.87 
MMTS        41.60       287.32 
MMX1        19.43       260.93 
MN__        47.92       106.95 
MNA1        38.80       282.40 
MNAE        45.89       264.70 
MNAI        46.53       266.27 
MNAN        45.20       263.98 
MNAS        48.29       267.03 
MNAV        44.73       266.79 
MNAX        45.89       264.61 
MNB1        45.11       266.61 
MNBA        46.35       265.75 
MNBD        48.63       265.93 
MNBE        43.66       265.88 
MNBJ        47.50       265.06 
MNBL        47.50       6.81 
MNBN        45.31       264.41 
MNBP        44.62       266.25 
MNBV        43.61       263.62 
MNC1        46.08       295.17 
MNC5        51.25       291.80 
MNCA        43.63       268.50 
MNCC        45.40       267.18 
MNCD        43.64       268.49 
MNCL        44.95       264.59 
MNCO        42.90       13.34 
MND2        -32.53      115.72 
MNDE        -32.39      142.42 
MNDH        -32.53      115.71 
MNDN        48.57       263.09 
MNDR        53.57       247.59 
MNDS        39.62       239.60 
MNDT        46.82       264.14 
MNDV        44.06       264.40 
MNEB        45.99       264.03 
MNEM        46.69       266.05 
MNEW        45.99       264.02 
MNEY        43.96       267.79 
MNFF        46.27       263.94 
MNFM        44.69       266.87 
MNG2        43.80       28.60 
MNGA        43.81       28.56 
MNGH        47.98       267.17 
MNGL        43.81       28.58 
MNGM        43.82       28.59 
MNGO        -38.78      143.65 
MNGP        47.22       266.52 
MNGR        45.56       263.51 
MNHA        44.77       267.14 
MNHD        44.46       263.56 
MNHK        48.77       263.05 
MNHL        45.07       265.90 
MNHN        45.98       267.05 
MNHO        43.76       266.79 
MNHR        -40.47      176.22 
MNHW        44.91       266.01 
MNHY        47.95       264.37 
MNI2        40.36       16.69 
MNIA        40.36       16.69 
MNIG        44.78       266.95 
MNIS        45.50       266.76 
MNJA        43.64       265.02 
MNJC        46.98       266.73 
MNJF        44.08       264.88 
MNJN        44.68       266.36 
MNKA        45.15       264.99 
MNKB        48.36       266.99 
MNKI        43.52       266.29 
MNKY        44.28       267.03 
MNLC        44.48       266.71 
MNLI        45.97       265.68 
MNLK        43.64       264.88 
MNLM        47.57       267.49 
MNLR        43.52       267.48 
MNLS        44.44       266.09 
MNLU        43.64       263.78 
MNM1        44.18       265.96 
MNM2        45.56       264.11 
MNMA        45.88       266.34 
MNMC        35.97       239.57 
MNMD        45.01       263.82 
MNME        45.13       265.47 
MNMG        48.13       266.12 
MNMH        44.46       264.21 
MNMI        -19.13      290.40 
MNMK        44.14       266.04 
MNMN        44.54       265.00 
MNMR        44.94       263.56 
MNMS        44.46       264.20 
MNMV        44.95       264.32 
MNNU        44.32       265.54 
MNOK        45.00       267.04 
MNOV        38.03       15.14 
MNOW        44.06       266.73 
MNP1        41.07       288.14 
MNP2        41.07       288.14 
MNPG        46.65       267.86 
MNPI        44.01       263.71 
MNPK        -33.17      151.55 
MNPL        46.34       266.74 
MNPS        43.52       268.11 
MNPV        44.18       267.84 
MNPY        45.37       265.29 
MNR1        43.97       267.53 
MNRC        38.88       237.56 
MNRD        45.26       266.30 
MNRE        47.06       266.09 
MNRL        45.55       286.36 
MNRM        43.64       264.23 
MNRN        48.61       266.65 
MNRO        44.03       267.52 
MNRR        45.20       266.44 
MNRS        44.74       266.87 
MNRT        46.49       263.71 
MNRV        48.79       264.95 
MNRW        44.56       267.47 
MNS1        45.66       265.83 
MNSA        45.72       265.04 
MNSB        45.49       264.44 
MNSC        45.71       265.07 
MNSF        -37.07      146.09 
MNSP        44.24       265.02 
MNSQ        47.60       265.87 
MNSR        45.04       267.15 
MNST        45.58       265.91 
MNSV        43.90       267.52 
MNSW        44.72       265.48 
MNSY        44.00       264.25 
MNTF        48.12       263.79 
MNTL        43.51       266.65 
MNTN        46.13       295.04 
MNTO        -24.87      151.13 
MNTP        43.65       3.87 
MNTR        43.82       265.57 
MNTS        38.43       26.72 
MNUM        -34.90      139.31 
MNVA        -23.91      148.06 
MNVI        47.52       267.44 
MNVN        46.41       264.95 
MNVT        48.97       262.80 
MNWB        44.40       264.75 
MNWD        46.46       264.81 
MNWE        45.81       263.51 
MNWF        47.18       267.71 
MNWH        48.15       265.49 
MNWI        45.12       265.01 
MNWL        43.74       266.28 
MNWN        44.07       268.29 
MNWO        43.62       264.42 
MNZO        19.06       255.70 
MO00        45.72       4.07 
MO02        36.88       265.57 
MOA1        -35.22      138.47 
MOA2        36.68       265.56 
MOAD        38.41       265.65 
MOAL        40.26       265.70 
MOAN        36.68       265.56 
MOAT        36.69       268.62 
MOB1        30.23       271.98 
MOB5        30.23       271.98 
MOB6        30.23       271.98 
MOBD        39.78       266.90 
MOBE        37.46       268.78 
MOBF        38.76       269.75 
MOBG        39.35       268.79 
MOBI        48.15       0.18 
MOBJ        55.11       36.57 
MOBK        55.11       36.57 
MOBL        38.77       269.75 
MOBN        55.11       36.57 
MOBO        38.93       267.22 
MOBP        39.01       265.71 
MOBR        36.71       266.78 
MOBS        -37.83      144.98 
MOBT        38.26       265.61 
MOBU        37.66       266.90 
MOBW        37.70       269.26 
MOBY        40.27       265.98 
MOC1        39.39       266.51 
MOC2        38.99       267.72 
MOC3        37.18       265.64 
MOCA        46.10       11.14 
MOCB        38.97       267.51 
MOCD        38.04       267.23 
MOCE        39.77       266.46 
MOCH        36.92       270.68 
MOCI        39.77       266.49 
MOCL        38.39       266.24 
MOCM        39.75       265.76 
MOCN        40.14       268.46 
MOCO        41.37       15.16 
MOCR        39.75       265.77 
MOCS        36.65       266.09 
MOCT        38.39       266.19 
MOCU        -16.87      36.84 
MOCV        39.35       268.59 
MOD1        37.64       239.01 
MOD2        41.15       13.88 
MODA        45.21       6.71 
MODB        41.90       239.70 
MODE        44.63       10.95 
MODG        37.07       265.59 
MODO        37.83       267.31 
MODP        36.65       269.20 
MODR        38.46       268.53 
MODX        36.81       270.02 
MOEA        39.75       265.32 
MOEB        39.18       269.21 
MOED        40.19       267.82 
MOEG        37.88       265.98 
MOEL        38.35       267.40 
MOES        39.34       265.75 
MOFA        49.65       0.60 
MOFC        64.98       343.33 
MOFD        37.24       266.75 
MOFE        38.19       269.61 
MOFR        37.12       354.54 
MOGC        40.28       267.05 
MOGD        41.34       353.29 
MOGE        44.39       7.82 
MOGF        37.43       266.15 
MOGG        46.41       13.20 
MOGL        39.53       240.07 
MOGN        46.15       4.80 
MOGO        -35.75      150.19 
MOGV        38.89       265.48 
MOHA        39.68       239.40 
MOHI        39.08       266.26 
MOHL        39.70       268.60 
MOHO        38.25       241.75 
MOHR        38.66       268.51 
MOHS        37.34       268.06 
MOHT        36.24       270.27 
MOHV        38.61       265.68 
MOID        39.12       265.61 
MOIE        43.50       13.12 
MOIL        40.71       244.59 
MOIN        9.99        276.91 
MOIR        35.05       24.88 
MOIT        19.69       258.75 
MOIU        0.29        35.29 
MOJC        38.58       267.71 
MOJK        37.41       270.35 
MOJP        37.09       265.50 
MOKE        36.22       269.93 
MOKI        40.28       267.42 
MOKP        19.49       204.40 
MOKV        39.43       267.07 
MOKY        39.37       265.63 
MOL0        51.18       5.12 
MOL1        36.81       22.85 
MOL2        47.64       1.45 
MOL3        43.72       2.34 
MOL5        40.84       358.12 
MOLA        37.95       237.58 
MOLD        44.73       21.62 
MOLI        37.48       268.15 
MOLJ        38.87       265.83 
MOLN        37.89       266.38 
MOLS        38.52       269.58 
MOLV        48.61       5.84 
MOLY        -16.68      145.33 
MOM0        12.41       273.46 
MOM2        39.12       266.78 
MOM3        49.60       1.47 
MOMA        37.38       267.59 
MOMC        39.16       268.17 
MOMD        40.14       264.76 
MOME        39.12       268.10 
MOMF        37.35       267.05 
MOMG        37.13       267.69 
MOMI        12.55       273.51 
MOMK        38.69       268.11 
MOML        40.21       266.88 
MOMM        38.95       269.07 
MOMN        39.76       267.53 
MOMO        36.92       266.02 
MOMR        40.30       265.12 
MOMS        39.12       266.78 
MOMV        40.36       265.15 
MOMX        39.16       268.17 
MON0        12.47       107.18 
MON1        -34.91      303.80 
MON3        46.98       236.40 
MON4        39.76       267.26 
MON5        47.62       4.34 
MON6        36.57       238.19 
MON7        45.47       286.29 
MON8        46.08       295.17 
MON9        43.42       23.23 
MONA        36.58       269.39 
MONB        37.49       238.13 
MONC        45.07       7.93 
MOND        44.39       7.83 
MONE        37.87       265.65 
MONF        37.57       267.66 
MONG        -15.25      23.15 
MONI        39.15       243.28 
MONJ        47.92       106.90 
MONN        40.38       266.66 
MONO        37.90       240.88 
MONP        32.89       243.58 
MONS        46.55       3.29 
MONT        38.08       242.29 
MONV        44.39       7.83 
MONW        37.51       267.15 
MONY        40.01       267.79 
MONZ        45.58       9.27 
MOO2        50.16       258.33 
MOOC        38.04       266.31 
MOOE        42.62       270.41 
MOOF        38.75       269.30 
MOOR        -37.40      142.13 
MOP2        48.37       17.27 
MOPA        37.52       269.99 
MOPB        36.76       269.61 
MOPC        39.38       265.22 
MOPI        48.37       17.27 
MOPL        39.38       265.22 
MOPN        40.42       266.42 
MOPR        18.08       292.07 
MOPS        44.63       10.95 
MOPV        36.42       270.32 
MOPY        39.74       268.48 
MOR3        40.62       359.90 
MOR4        55.21       358.31 
MOR5        40.79       287.25 
MOR6        40.79       287.25 
MOR7        55.21       358.31 
MOR8        -29.48      149.85 
MORA        38.25       358.00 
MORB        46.13       9.57 
MORE        -9.43       147.19 
MORG        40.45       239.93 
MORH        46.88       263.24 
MORI        53.80       246.36 
MORJ        28.05       345.64 
MORK        40.42       264.46 
MORL        37.97       272.55 
MORM        39.28       266.07 
MORN        45.69       0.27 
MORO        42.05       12.62 
MORP        55.21       358.31 
MORR        43.27       13.59 
MORS        39.18       265.39 
MORT        40.61       270.54 
MORU        40.86       14.08 
MORV        50.03       2.87 
MORZ        37.95       268.23 
MOS1        37.18       269.54 
MOS2        -3.35       37.34 
MOS3        38.44       16.57 
MOS4        43.35       17.80 
MOS5        40.32       356.14 
MOS9        37.21       266.77 
MOSA        38.69       266.75 
MOSB        38.83       265.47 
MOSC        38.38       269.03 
MOSD        38.69       266.75 
MOSE        37.16       267.25 
MOSF        37.24       266.77 
MOSG        37.94       269.86 
MOSH        39.70       267.95 
MOSI        38.56       269.54 
MOSL        46.44       267.24 
MOSN        51.29       279.39 
MOSP        38.81       269.35 
MOSR        37.82       267.85 
MOST        37.97       268.66 
MOSU        48.14       359.45 
MOSV        39.95       265.15 
MOTA        39.50       357.13 
MOTD        60.96       221.96 
MOTE        8.79        284.14 
MOTH        36.56       268.45 
MOTK        40.44       264.65 
MOTR        36.75       356.48 
MOU1        47.28       7.37 
MOU2        43.98       279.27 
MOUL        -35.09      144.04 
MOUN        40.30       242.93 
MOUS        48.68       6.78 
MOUT        41.05       248.33 
MOUZ        49.61       5.08 
MOVB        36.96       268.94 
MOVE        38.19       268.05 
MOWA        36.79       267.42 
MOWB        38.81       266.26 
MOWE        39.42       265.10 
MOWP        36.73       268.15 
MOWR        38.81       268.84 
MOWS        36.97       268.08 
MOWW        38.25       266.64 
MOX2        50.64       11.62 
MOXA        50.65       11.61 
MOZ2        43.98       10.54 
MOZI        36.46       25.42 
MPA2        -6.35       31.04 
MPAZ        37.95       16.01 
MPCK        49.99       250.53 
MPIK        -11.82      31.45 
MPL2        -38.01      302.43 
MPLA        -38.04      302.47 
MPLE        43.62       275.24 
MPNC        38.15       15.35 
MPR1        20.68       254.75 
MPRA        46.24       12.99 
MPRV        46.17       0.53 
MPTB        -25.97      32.57 
MPUR        24.60       90.03 
MPUT        40.02       248.37 
MPWD        34.30       241.12 
MQSI        28.21       182.64 
MQZG        -43.70      172.65 
MR6G        60.60       17.26 
MRAV        32.45       35.42 
MRBA        -17.02      145.32 
MRBL        -42.66      172.78 
MRC1        38.50       282.63 
MRCA        37.99       358.88 
MRCD        37.31       239.51 
MRCG        -26.84      290.87 
MRCU        18.90       260.80 
MRD1        38.99       43.76 
MRDM        34.18       242.12 
MRDY        38.99       43.76 
MREE        -29.46      149.83 
MREK        2.97        98.54 
MREP        53.81       193.25 
MRGE        45.77       7.06 
MRGH        41.37       16.15 
MRHK        29.80       264.25 
MRIA        35.73       51.81 
MRIV        -29.21      29.99 
MRJM        54.57       23.37 
MRKB        29.72       274.97 
MRKT        54.24       353.50 
MRL1        -41.58      173.74 
MRL2        -41.58      173.74 
MRLC        40.76       15.49 
MRLK        55.95       247.97 
MRML        45.31       292.75 
MRNO        -37.72      141.55 
MRNT        -38.23      145.07 
MRNW        -28.80      149.90 
MRO1        -26.70      116.64 
MRON        46.75       6.35 
MRPK        34.29       241.13 
MRRA        42.89       13.92 
MRRN        42.90       258.30 
MRSB        44.91       284.83 
MRSD        46.79       238.26 
MRSI        36.78       34.60 
MRT1        -19.76      146.83 
MRT2        -19.46      147.48 
MRT3        -19.33      146.52 
MRT4        -18.53      146.33 
MRT5        -18.68      146.00 
MRT6        -19.92      147.84 
MRT7        -20.06      147.28 
MRT8        -20.00      148.23 
MRT9        -20.56      147.85 
